Job Code,Job Code Desc,Standard Labour Hrs,Billing Hrs,Type,Parent Product Line,Status,Aggregate,Job Code Type
13000,RENEW CYLINDER COVER GASKET,0.3,0.5,Labour,Palio,Active,Engine,Minor
13000,RENEW CYLINDER COVER GASKET,0.3,0.5,Labour,Palio Stile,Active,,
13000,RENEW CYLINDER COVER GASKET,0.3,0.3,Labour,Petra,Active,,
13000,RENEW CYLINDER COVER GASKET,0.3,0.4,Labour,Safari,Active,,
13000,RENEW CYLINDER COVER GASKET,0.3,,Labour,ScPass-Winger,Active,0,0
13000,RENEW CYLINDER COVER GASKET,0.3,0.3,Labour,Siena,Active,,
13000,RENEW CYLINDER COVER GASKET,0.3,0.3,Labour,Spacio,Active,,
13000,RENEW CYLINDER COVER GASKET,0.3,0.3,Labour,Sumo,Active,,
13000,RENEW CYLINDER COVER GASKET,0.3,0.4,Labour,Sumo Grande,Active,,
13000,RENEW CYLINDER COVER GASKET,0.3,0.3,Labour,Uno,Active,,
13000,RENEW CYLINDER HEAD  COVER OIL SEAL,1,1,Labour,Venture,Active,0,0
13000,RENEW CYLINDER HEAD  COVER OIL SEAL,1,,Labour,Venture,Active,Engine and Accessories,Minor Repair
13000,RENEW CYLINDER COVER GASKET,0.3,0.3,Labour,Week End,Active,,
13000,RENEW CYLINDER HEAD  COVER OIL SEAL,1,1,Labour,Winger_Platinum,Active,0,0
13000,RENEW CYLINDER HEAD  COVER OIL SEAL,1,,Labour,Winger_Platinum,Active,Engine and Accessories,0
13000,RENEW CYLINDER COVER GASKET,0.3,0.3,Labour,Xenon XT,Active,,
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Adventure,Active,,
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Adventure,Active,Engine,Minor
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Aria,Active,0,0
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Fiat500,Active,Engine,Minor
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Grande Punto,Active,,
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Indica,Active,,
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Indigo,Active,,
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Indigo Manza,Active,,
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Linea,Active,0,0
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Linea,Active,Engine,Minor
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Marina,Active,,
13010,R/R OIL FILTER CAP,0.08,0.1,Labour,Nano,Active,,
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Palio,Active,,
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Palio,Active,Engine,Minor
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Palio Stile,Active,,
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Petra,Active,,
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Safari,Active,,
13010,R/R OIL FILTER CAP,0.1,,Labour,ScPass-Winger,Active,0,0
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Siena,Active,,
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Spacio,Active,,
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Sumo,Active,,
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Sumo Grande,Active,,
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Uno,Active,,
13010,R/R OIL FILTER CAP,0.1,0.1,Labour,Week End,Active,,
